"steepness","mix.period","k","iter","E.mult","Total.like","Total.LF","Total.CPUE","BH.Steep","Tag.like","CPUE.JPPL","CPUE.PS.5","CPUE.PS.678","Max.gradient","negvals","Frecent.Fmsy","SD.fmsy","SB.SBmsy","SD.SBmsy","Sbrecent.SBF0","SD.depletion","model","model.iter"
0.903415988317949,2,0.322,1,4.34764865823797,321261.3623473,299872.856110456,-506.41651792102,2.68184349192,21105.4333328546,-562.5533942814,41.8260405246,14.31083583578,7.48347917437873e-05,0,0.391236306729264,0.01485894010344,3.666,0.16548853,0.485539322844624,0.0261838901,"diagnostic-k4","diagnostic-k4-1"
0.82522643048511,3,0.307,2,4.41543038522365,323044.664995496,299430.065580377,-502.06807742867,3.23920675241,23400.8030627536,-483.6598681104,5.30835002383,-23.7165593421,8.50155532649163e-05,0,0.387146728610143,0.0149163983089131,3.406,0.15687667,0.462183167510278,0.02952269,"diagnostic-k2","diagnostic-k2-2"
0.844936648084097,3,0.224,3,3.93295579298671,323137.078711263,299511.422561181,-480.79327249034,2.88311051448,23411.4930439945,-475.7587572186,4.40225763676,-9.4367729085,6.9827420614719e-05,0,0.3382949932341,0.0116021714210923,4.373,0.19085981,0.45392785647976,0.0285155295,"diagnostic-k2","diagnostic-k2-3"
0.900405761614568,1,0.291,4,2.99523984198424,318156.576860719,299204.958801794,-719.79472480132,2.82252454697,18781.5850050565,-710.55598678036,7.04814660384,-16.2868846248,9.82430715890438e-05,0,0.201126307320998,0.00988828333403904,6.298,0.35591832,0.652901502187225,0.0262317335,"diagnostic-k2","diagnostic-k2-4"
0.682895785560955,2,0.252,5,3.73387163742532,321609.514161576,299360.831331843,-414.6417282399,2.87434324529,21866.9288028368,-441.6800379482,17.9700667789,9.0682429294,7.10112263205421e-05,0,0.414593698175788,0.0146684552307451,2.854,0.1244211,0.464134916825744,0.0250513346,"diagnostic-k3","diagnostic-k3-5"
0.871454735812284,2,0.319,6,4.75230714150905,321403.107347829,299379.60059938,-418.9079772697,3.55286440184,21620.2040549912,-454.0233753012,24.4224777697,10.6929202618,9.48990240378485e-05,0,0.353481795687522,0.0129025124221964,3.9,0.166788,0.511004950989764,0.0256560306,"diagnostic-k3","diagnostic-k3-6"
0.824493512606929,3,0.377,7,4.84629492584604,322648.442916528,299814.759464827,-540.0021887928,2.82339831681,22639.5031761567,-535.4199243354,21.5988707482,-26.1811352056,6.86254120513171e-05,0,0.460193281178095,0.0160914216141758,2.979,0.11926156,0.465661175740846,0.0237482074,"diagnostic-k4","diagnostic-k4-7"
0.830977465502032,3,0.353,8,4.87523926078478,322799.018250674,299775.128384958,-503.6723443019,2.96152166055,22801.1364838619,-506.6895259614,20.5416486304,-17.5244669709,6.77148091220526e-05,0,0.418760469011725,0.0147011004547977,3.353,0.13912777,0.471275702779547,0.0255111678,"diagnostic-k2","diagnostic-k2-8"
0.822507598905178,3,0.314,10,2.34908212801081,322809.585191885,300125.224591671,-663.9394946873,3.83258806998,22631.935443384,-659.3548919515,24.2481069942,-28.83270973,6.91721290805455e-05,0,0.467071461933676,0.0170783855191218,3.588,0.15524834,0.451110932345998,0.0264371502,"diagnostic-k4","diagnostic-k4-10"
0.785669742197696,3,0.307,11,4.41223582689481,323353.889279305,299786.037052988,-506.5404552201,3.28055132873,23359.7342836503,-496.8750332071,6.9513549623,-16.6167769753,7.93533860455504e-05,0,0.4,0.0152698527536232,3.169,0.14335789,0.457620976368976,0.0293864051,"diagnostic-k2","diagnostic-k2-11"
0.834363471263615,2,0.254,12,3.83822333030558,321590.419903161,299069.93930001,-457.89478933153,3.30497282858,22178.3307709641,-474.0300802991,11.354169383,4.78112158457,8.37703368582909e-05,0,0.308071472581639,0.0115076595436808,4.263,0.19151657,0.518176687149025,0.026354408,"diagnostic-k3","diagnostic-k3-12"
0.884093417865328,1,0.327,14,4.19650004193937,317578.614130462,299477.237413333,-702.4114508569,2.70985140858,17931.9608335364,-763.0935397907,46.8358327238,13.84625621,8.6905049524828e-05,0,0.316055625790139,0.0132173877624605,4.252,0.2068739,0.589520372885309,0.023785427,"diagnostic-k4","diagnostic-k4-14"
0.791121895795319,2,0.28,15,3.31906161718619,321403.204394304,300205.399929289,-568.6197257012,2.62611481952,20985.0248339921,-622.3351575481,44.6433365664,9.0720952805,5.59191623613473e-05,0,0.477326968973747,0.0184548240372999,3.143,0.14610906,0.448948992564208,0.0268298677,"diagnostic-k4","diagnostic-k4-15"
0.892336982610108,2,0.324,16,2.01914913584022,320859.641894082,299388.288796132,-522.40031569934,4.47059346574,21195.5364582487,-586.3624261555,29.6528413614,34.30926909476,9.29410479991783e-05,0,0.355998576005696,0.0120018749679886,4.664,0.18435635,0.51208891853893,0.0239492898,"diagnostic-k3","diagnostic-k3-16"
0.760917597871399,3,0.25,17,4.86207435354933,323286.947224397,299762.897583188,-551.43925606342,2.82509329008,23375.3021972061,-536.6136700169,2.93423071348,-17.75981676,8.84735310813833e-05,0,0.402414486921529,0.014053246676713,3.238,0.1417592,0.442188949807167,0.0287029102,"diagnostic-k2","diagnostic-k2-17"
0.718230733936961,2,0.336,18,4.54927912817043,321064.325940203,299446.482800007,-424.5942345754,3.15284771368,21234.8013091385,-486.445905374,26.624610421,35.2270603776,9.28577533003085e-05,0,0.465766185374942,0.015458512212957,2.681,0.10416839,0.462600244800952,0.0234369311,"diagnostic-k3","diagnostic-k3-18"
0.82550727276814,2,0.28,19,3.6400135926476,321435.77535925,300200.125484615,-549.76522008681,2.65736670666,21003.7404969416,-605.8937964531,47.4157763605,8.71280000579,6.34644951777496e-05,0,0.460193281178095,0.0171081880096581,3.343,0.14704481,0.452801246149499,0.0253731301,"diagnostic-k4","diagnostic-k4-19"
0.918492085393204,3,0.275,20,3.31183282898593,323370.636705923,299713.588869364,-581.24654798279,3.19380965846,23534.0752384645,-537.5238988156,-6.85117712345,-36.87147204374,9.77186177404753e-05,0,0.288184438040346,0.00978477847800614,6.292,0.26554014,0.524257658929102,0.0251365652,"diagnostic-k4","diagnostic-k4-20"
0.912598573400722,1,0.211,21,2.07660466493976,318359.512067476,299041.035154577,-662.40775317897,3.99016007047,19097.3469632175,-698.86965697266,14.7728609693,21.68904282439,8.89220913391262e-05,0,0.191828122002686,0.00998955528094889,8.924,0.55820865,0.638469738058004,0.0252504518,"diagnostic-k3","diagnostic-k3-21"
0.811897238325885,2,0.343,22,4.87112294588108,321597.835112638,299604.531723755,-498.57777232578,3.78101628081,21680.8921975637,-496.7911810471,7.71994236182,-9.5065336405,9.61491817202947e-05,0,0.338753387533875,0.0130268587582686,3.617,0.16367792,0.535134051457474,0.0256655885,"diagnostic-k2","diagnostic-k2-22"
0.818297578485812,3,0.284,23,2.29421113115426,322861.549690592,299403.04981713,-613.3019656306,4.01860117368,23377.4986331996,-601.2440653716,4.0285296181,-16.0864298771,9.81479715608248e-05,0,0.37243947858473,0.0129132609864208,3.92,0.16554971,0.469633347699894,0.0250690286,"diagnostic-k2","diagnostic-k2-23"
0.761858018707259,1,0.324,24,4.87877226598705,317840.825185668,299175.863928435,-687.5372763546,3.41653737904,18464.4406719614,-722.4914139585,41.8565702054,-6.9024326015,0.000374330057168636,0,0.323310701584222,0.0135942927949439,3.365,0.1628175,0.612141386168749,0.0219947799,"diagnostic-k4","diagnostic-k4-24"
0.843620706576666,3,0.225,25,4.85946617406029,323238.431153251,299540.048384955,-446.15036673214,2.94608801325,23445.0604367376,-441.9749597649,5.06594993466,-9.2413569019,7.46822799231226e-05,0,0.341997264021888,0.011769954678001,4.127,0.18058304,0.448404747587538,0.0289864086,"diagnostic-k2","diagnostic-k2-25"
0.781367331645859,3,0.204,26,4.86282406732204,323338.552376144,299383.597667024,-413.21621892621,2.80968774066,23669.7424578799,-416.1717282337,4.89812679199,-1.9426174845,9.14531201008154e-05,0,0.377500943752359,0.0127241628163493,3.55,0.15446914,0.436825271599101,0.0281967186,"diagnostic-k2","diagnostic-k2-26"
